SKU unidad negocio,Codigo regional,Descripcion,EAN,Proveedor,Equipo,PM asociado,Trazabilidad levantamiento,Etapa
1859062,False,STEVIA ORGANICA WHOLESOME SOBRES 75G,12511946753,"GROVARA, LLC",FOOD IMPORTADOS,Magdalena Benavente,"FOOD IMPORTADOS/GROVARA, LLC",No completado - Nuevo
1859061,False,ERYTHRITOL PURO ORGANICO WHOLESOME 340G,12511347116,"GROVARA, LLC",FOOD IMPORTADOS,Magdalena Benavente,"FOOD IMPORTADOS/GROVARA, LLC",No completado - Nuevo
1844228,False,PAPRIKA MCCORMICK 60G,52100004488,MCCORMICK DE COLOMBIA SAS,FOOD IMPORTADOS,Magdalena Benavente,FOOD IMPORTADOS/MCCORMICK DE COLOMBIA SAS,No completado - Nuevo
1844240,False,SAZONADOR TASTY ZINGY MCCORMICK 51G,52100045351,MCCORMICK DE COLOMBIA SAS,FOOD IMPORTADOS,Magdalena Benavente,FOOD IMPORTADOS/MCCORMICK DE COLOMBIA SAS,No completado - Nuevo
1844238,False,SAZONADOR TASTY CHEESY MCCORMICK 51G,52100045375,MCCORMICK DE COLOMBIA SAS,FOOD IMPORTADOS,Magdalena Benavente,FOOD IMPORTADOS/MCCORMICK DE COLOMBIA SAS,No completado - Nuevo
1700727,False,CHOCOLATE YOGURETTE 125G,4008400421025,CITTI MARKTE GMBH & CO KG,FOOD IMPORTADOS,Magdalena Benavente,FOOD IMPORTADOS/CITTI MARKTE GMBH & CO KG,No completado - Nuevo
1592620,False,DISPLAY MAUXION SISA,4000415413903,LUDWIG SCHOKOLADE GMBH,FOOD IMPORTADOS,Magdalena Benavente,FOOD IMPORTADOS/LUDWIG SCHOKOLADE GMBH,No completado - Nuevo
1705226,False,*V18-LENTES DE BUCEO ANIMALES 3 A 6 AÑOS,2090001270067,BESTWAY (HONK KONG) INTERNATIONAL,NON FOOD HARD,María José Collado,NON FOOD HARD/BESTWAY (HONK KONG) INTERNATIONAL,No completado - Nuevo
1757092,False,ALITAS NIÑOS CUTY TREK 6 A 12 AÑOS V19,2090001361413,BESTWAY (HONK KONG) INTERNATIONAL,NON FOOD HARD,María José Collado,NON FOOD HARD/BESTWAY (HONK KONG) INTERNATIONAL,No completado - Nuevo
1757095,False,ALITAS TORTUGAS 3 A 6 AÑOS V19,2090001361376,BESTWAY (HONK KONG) INTERNATIONAL,NON FOOD HARD,María José Collado,NON FOOD HARD/BESTWAY (HONK KONG) INTERNATIONAL,No completado - Nuevo
1757166,False,PISCINA REDONDA AZUL 3.05X76CM V19,2090001360676,BESTWAY (HONK KONG) INTERNATIONAL,NON FOOD HARD,María José Collado,NON FOOD HARD/BESTWAY (HONK KONG) INTERNATIONAL,No completado - Nuevo
1757168,False,PISICNA ELEFANTE 1.52X1.52X74CM V19,2090001360645,BESTWAY (HONK KONG) INTERNATIONAL,NON FOOD HARD,María José Collado,NON FOOD HARD/BESTWAY (HONK KONG) INTERNATIONAL,No completado - Nuevo
1866920,False,PDQ VERANO JUMBO V22,2090001439327,BESTWAY (HONK KONG) INTERNATIONAL,NON FOOD HARD,María José Collado,NON FOOD HARD/BESTWAY (HONG KONG) INTERNATIONAL LIMITED,No completado - Nuevo
1871754,False,PDQ VERANO SISA V22,2090001436364,BESTWAY (HONK KONG) INTERNATIONAL,NON FOOD HARD,María José Collado,NON FOOD HARD/BESTWAY (HONG KONG) INTERNATIONAL LIMITED,No completado - Nuevo
1886588,False,DISPLAY MAUXION,4000415497309,LUDWIG SCHOKOLADE GMBH,FOOD IMPORTADOS,Magdalena Benavente,FOOD IMPORTADOS/LUDWIG SCHOKOLADE GMBH,No completado - Nuevo
1838234,DP0031PV21-29,QUAD SKATES UNICORN TALLA 32,7800155015118,YONG XING SPORTS LIMITED,NON FOOD,Sebastián Soler,NON FOOD/YONG XING SPORTS LIMITED,No completado - Nuevo
1838235,DP0031PV21-30,QUAD SKATES UNICORN TALLA 34,7800155015125,YONG XING SPORTS LIMITED,NON FOOD,Sebastián Soler,NON FOOD/YONG XING SPORTS LIMITED,No completado - Nuevo
1843016,MB0592OI21-872-S,SET VASO JARRO TAPA METALES 3C OI21,39567628,ANHUI LIGHT INDUSTRIES INTERNATIONA,NON FOOD,Francesca Meriggio,"NON FOOD/ANHUI LIGHT INDUSTRIES INTERNATIONAL CO., LTD.",No completado - Nuevo
1871223,HOGARPALLET-SET1,PALLET HOGAR 1,39669926,"PARKROSE GROUP, S.L.",NON FOOD,Francesca Meriggio,"NON FOOD/PARKROSE GROUP, S.L.",No completado - Nuevo
1871224,HOGARPALLET-SET2,PALLET HOGAR 2,39669933,UNCLE BILLS ASIA PACIFIC PTY LTD,NON FOOD,Francesca Meriggio,NON FOOD/UNCLE BILLS ASIA PACIFIC PTY LTD,No completado - Nuevo
678454999,False,CARPA 10P LLUVIA FAM MISTI 590x520x210,7800155070599,GLOBALMARKET ENTERPRISE S.A.,NON FOOD,Sebastián Soler,NON FOOD/GLOBALMARKET ENTERPRISE S.A.,No completado - Nuevo
